Obj,Rating,Sub,Block
OBJECTS49,NA,12,2
OBJECTS23,NA,12,2
OBJECTS43,3,12,2
OBJECTS12,7,12,1
OBJECTS34,3,12,1
OBJECTS32,NA,12,2
OBJECTS6,4,12,1
OBJECTS9,5,12,1
OBJECTS18,6,12,2
OBJECTS39,3,12,1
OBJECTS37,NA,12,2
OBJECTS8,NA,12,2
OBJECTS34,NA,12,2
OBJECTS27,4,12,2
OBJECTS43,2,12,1
OBJECTS37,5,12,1
OBJECTS25,NA,12,2
OBJECTS24,6,12,2
OBJECTS25,5,12,1
OBJECTS45,2,12,1
OBJECTS33,6,12,2
OBJECTS35,NA,12,2
OBJECTS18,7,12,1
OBJECTS23,5,12,1
OBJECTS33,5,12,1
OBJECTS3,4,12,1
OBJECTS40,NA,12,2
OBJECTS49,3,12,1
OBJECTS5,NA,12,2
OBJECTS8,4,12,1
OBJECTS7,6,12,1
OBJECTS45,NA,12,2
OBJECTS31,NA,12,2
OBJECTS39,5,12,2
OBJECTS38,NA,12,2
OBJECTS22,4,12,1
OBJECTS26,5,12,1
OBJECTS31,5,12,1
OBJECTS42,NA,12,2
OBJECTS21,3,12,2
OBJECTS22,NA,12,2
OBJECTS35,2,12,1
OBJECTS7,NA,12,2
OBJECTS11,NA,12,2
OBJECTS32,5,12,1
OBJECTS21,3,12,1
OBJECTS9,4,12,2
OBJECTS6,3,12,2
OBJECTS11,4,12,1
OBJECTS26,NA,12,2
OBJECTS5,4,12,1
OBJECTS24,4,12,1
OBJECTS42,2,12,1
OBJECTS27,4,12,1
OBJECTS3,4,12,2
OBJECTS40,5,12,1
OBJECTS38,4,12,1
OBJECTS16,5,12,1
OBJECTS16,NA,12,2
OBJECTS12,7,12,2
OBJECTS37,4,128,1
OBJECTS49,1,128,1
OBJECTS45,1,128,1
OBJECTS12,1,128,1
OBJECTS38,NA,128,2
OBJECTS21,1,128,1
OBJECTS49,NA,128,2
OBJECTS43,1,128,1
OBJECTS35,1,128,1
OBJECTS5,1,128,1
OBJECTS16,1,128,1
OBJECTS43,1,128,2
OBJECTS6,1,128,2
OBJECTS11,1,128,1
OBJECTS8,NA,128,2
OBJECTS38,1,128,1
OBJECTS42,1,128,1
OBJECTS34,4,128,1
OBJECTS5,NA,128,2
OBJECTS32,4,128,1
OBJECTS22,NA,128,2
OBJECTS12,1,128,2
OBJECTS18,1,128,1
OBJECTS34,NA,128,2
OBJECTS8,1,128,1
OBJECTS7,1,128,1
