Obj,Rating,Sub,Block
SCENES37,NA,100,2
SCENES7,NA,100,2
SCENES20,NA,100,2
SCENES23,NA,100,2
SCENES44,NA,100,2
SCENES12,6,100,2
SCENES2,NA,100,2
SCENES25,NA,100,2
SCENES5,NA,100,2
SCENES1,NA,100,2
SCENES48,NA,100,2
SCENES18,1,100,2
SCENES43,3,100,1
SCENES46,7,100,1
SCENES41,NA,100,2
SCENES8,NA,100,2
SCENES11,NA,100,2
SCENES9,6,100,2
SCENES8,6,100,1
SCENES46,NA,100,2
SCENES40,NA,100,2
SCENES22,1,100,1
SCENES20,4,100,1
SCENES10,4,100,1
SCENES1,5,100,1
SCENES10,NA,100,2
SCENES22,NA,100,2
SCENES6,1,100,2
SCENES21,6,100,1
SCENES48,5,100,1
SCENES18,4,100,1
SCENES39,5,100,1
SCENES12,5,100,1
SCENES49,NA,100,2
SCENES40,7,100,1
SCENES14,6,100,1
SCENES49,3,100,1
SCENES7,5,100,1
SCENES37,7,100,1
SCENES26,NA,100,2
SCENES21,7,100,2
SCENES43,4,100,2
SCENES26,1,100,1
SCENES44,5,100,1
SCENES23,6,100,1
SCENES41,1,100,1
SCENES36,1,100,2
SCENES5,7,100,1
SCENES25,1,100,1
SCENES28,6,100,1
SCENES2,4,100,1
SCENES6,4,100,1
SCENES36,4,100,1
SCENES13,7,100,1
SCENES9,6,100,1
SCENES39,4,100,2
SCENES28,NA,100,2
SCENES13,NA,100,2
SCENES14,NA,100,2
SCENES11,1,100,1
SCENES8,NA,12,2
SCENES11,NA,12,2
SCENES43,4,12,2
SCENES46,NA,12,2
SCENES2,3,12,1
SCENES12,6,12,1
SCENES25,NA,12,2
SCENES2,NA,12,2
SCENES6,5,12,1
SCENES9,5,12,1
SCENES22,3,12,1
SCENES18,3,12,2
SCENES39,1,12,1
SCENES28,NA,12,2
SCENES44,NA,12,2
SCENES43,4,12,1
SCENES28,7,12,1
SCENES5,NA,12,2
SCENES10,7,12,1
SCENES5,7,12,1
SCENES49,NA,12,2
SCENES7,5,12,1
SCENES10,NA,12,2
SCENES14,NA,12,2
SCENES22,NA,12,2
SCENES13,NA,12,2
SCENES41,NA,12,2
SCENES18,3,12,1
SCENES11,4,12,1
SCENES13,6,12,1
SCENES40,NA,12,2
SCENES8,4,12,1
SCENES20,NA,12,2
SCENES23,NA,12,2
SCENES44,6,12,1
SCENES48,4,12,1
SCENES7,NA,12,2
SCENES36,4,12,2
SCENES36,2,12,1
SCENES39,2,12,2
SCENES37,NA,12,2
SCENES1,4,12,1
SCENES21,6,12,2
SCENES1,NA,12,2
SCENES14,7,12,1
SCENES48,NA,12,2
SCENES25,1,12,1
SCENES21,6,12,1
SCENES9,4,12,2
SCENES6,3,12,2
SCENES26,NA,12,2
SCENES41,3,12,1
SCENES49,3,12,1
SCENES23,3,12,1
SCENES46,6,12,1
SCENES26,3,12,1
SCENES40,5,12,1
SCENES37,6,12,1
SCENES12,4,12,2
SCENES20,4,12,1
SCENES44,1,128,1
SCENES48,7,128,1
SCENES46,7,128,1
SCENES12,7,128,1
SCENES41,NA,128,2
SCENES21,7,128,1
SCENES1,NA,128,2
SCENES48,NA,128,2
SCENES43,2,128,1
SCENES5,7,128,1
SCENES49,NA,128,2
SCENES43,1,128,2
SCENES6,1,128,2
SCENES14,7,128,1
SCENES1,5,128,1
SCENES49,7,128,1
SCENES7,3,128,1
SCENES10,7,128,1
SCENES41,7,128,1
SCENES13,7,128,1
SCENES25,5,128,1
SCENES12,7,128,2
SCENES18,2,128,1
SCENES39,1,128,1
SCENES11,1,128,1
SCENES2,NA,128,2
SCENES44,NA,128,2
SCENES2,5,128,1
SCENES14,NA,128,2
SCENES39,1,128,2
SCENES36,7,128,1
SCENES22,NA,128,2
SCENES20,7,128,1
SCENES37,NA,128,2
SCENES36,7,128,2
SCENES28,7,128,1
SCENES40,NA,128,2
SCENES9,7,128,1
SCENES20,NA,128,2
SCENES8,7,128,1
SCENES9,7,128,2
SCENES13,NA,128,2
SCENES22,1,128,1
SCENES5,NA,128,2
SCENES40,4,128,1
SCENES8,NA,128,2
SCENES37,5,128,1
SCENES7,NA,128,2
SCENES10,NA,128,2
SCENES25,NA,128,2
SCENES11,NA,128,2
SCENES23,7,128,1
SCENES46,NA,128,2
SCENES23,NA,128,2
SCENES21,4,128,2
SCENES26,NA,128,2
SCENES28,NA,128,2
SCENES6,1,128,1
SCENES18,1,128,2
SCENES26,1,128,1
SCENES20,NA,134,2
SCENES39,3,134,2
SCENES48,NA,134,2
SCENES11,NA,134,2
SCENES23,NA,134,2
SCENES49,NA,134,2
SCENES10,5,134,1
SCENES46,7,134,1
SCENES25,NA,134,2
SCENES36,3,134,2
SCENES39,2,134,1
SCENES48,5,134,1
SCENES12,5,134,2
SCENES8,4,134,1
SCENES40,NA,134,2
SCENES9,4,134,1
SCENES2,3,134,1
SCENES28,NA,134,2
SCENES10,NA,134,2
SCENES11,3,134,1
SCENES7,3,134,1
SCENES9,3,134,2
SCENES26,NA,134,2
SCENES14,NA,134,2
SCENES6,3,134,1
SCENES37,NA,134,2
SCENES5,NA,134,2
SCENES37,4,134,1
SCENES28,6,134,1
SCENES1,NA,134,2
SCENES25,3,134,1
SCENES23,4,134,1
SCENES2,NA,134,2
SCENES8,NA,134,2
SCENES13,NA,134,2
SCENES44,NA,134,2
SCENES5,5,134,1
SCENES36,3,134,1
SCENES14,5,134,1
SCENES41,3,134,1
SCENES21,6,134,1
SCENES43,3,134,1
SCENES1,5,134,1
SCENES18,4,134,1
SCENES22,3,134,1
SCENES13,5,134,1
SCENES40,5,134,1
SCENES44,6,134,1
SCENES12,5,134,1
SCENES18,3,134,2
SCENES41,NA,134,2
SCENES46,NA,134,2
SCENES43,3,134,2
SCENES6,3,134,2
SCENES21,6,134,2
SCENES7,NA,134,2
SCENES49,4,134,1
SCENES20,5,134,1
SCENES22,NA,134,2
SCENES26,3,134,1
SCENES14,NA,142,2
SCENES40,NA,142,2
SCENES21,6,142,2
SCENES12,5,142,1
SCENES5,6,142,1
SCENES9,6,142,1
SCENES21,6,142,1
SCENES37,NA,142,2
SCENES26,2,142,1
SCENES40,6,142,1
SCENES7,4,142,1
SCENES25,NA,142,2
SCENES36,3,142,1
SCENES26,NA,142,2
SCENES1,4,142,1
SCENES43,3,142,2
SCENES10,NA,142,2
SCENES22,NA,142,2
SCENES48,NA,142,2
SCENES6,3,142,1
SCENES18,2,142,2
SCENES23,3,142,1
SCENES20,NA,142,2
SCENES44,5,142,1
SCENES14,7,142,1
SCENES23,NA,142,2
SCENES43,2,142,1
SCENES41,NA,142,2
SCENES22,3,142,1
SCENES44,NA,142,2
SCENES48,2,142,1
SCENES18,1,142,1
SCENES6,2,142,2
SCENES2,2,142,1
SCENES8,5,142,1
SCENES39,3,142,1
SCENES46,6,142,1
SCENES49,3,142,1
SCENES10,7,142,1
SCENES25,2,142,1
SCENES2,NA,142,2
SCENES11,4,142,1
SCENES36,3,142,2
SCENES7,NA,142,2
SCENES1,NA,142,2
SCENES20,3,142,1
SCENES11,NA,142,2
SCENES28,NA,142,2
SCENES46,NA,142,2
SCENES41,2,142,1
SCENES28,6,142,1
SCENES8,NA,142,2
SCENES39,2,142,2
SCENES5,NA,142,2
SCENES12,5,142,2
SCENES13,5,142,1
SCENES37,6,142,1
SCENES13,NA,142,2
SCENES49,NA,142,2
SCENES9,7,142,2
SCENES7,NA,165,2
SCENES20,4,165,1
SCENES10,5,165,1
SCENES36,2,165,1
SCENES21,4,165,2
SCENES39,2,165,1
SCENES2,NA,165,2
SCENES49,2,165,1
SCENES44,3,165,1
SCENES5,5,165,1
SCENES6,3,165,1
SCENES14,NA,165,2
SCENES22,2,165,1
SCENES28,NA,165,2
SCENES48,3,165,1
SCENES9,3,165,2
SCENES20,NA,165,2
SCENES43,2,165,1
SCENES18,2,165,2
SCENES23,2,165,1
SCENES13,NA,165,2
SCENES43,2,165,2
SCENES49,NA,165,2
SCENES7,3,165,1
SCENES10,NA,165,2
SCENES44,NA,165,2
SCENES13,4,165,1
SCENES9,4,165,1
SCENES1,NA,165,2
SCENES23,NA,165,2
SCENES12,6,165,1
SCENES21,4,165,1
SCENES48,NA,165,2
SCENES25,NA,165,2
SCENES22,NA,165,2
SCENES41,2,165,1
SCENES18,2,165,1
SCENES37,NA,165,2
SCENES40,3,165,1
SCENES25,1,165,1
SCENES36,2,165,2
SCENES12,6,165,2
SCENES1,4,165,1
SCENES46,6,165,1
SCENES40,NA,165,2
SCENES11,NA,165,2
SCENES46,NA,165,2
SCENES11,2,165,1
SCENES39,2,165,2
SCENES5,NA,165,2
SCENES8,4,165,1
SCENES14,5,165,1
SCENES2,3,165,1
SCENES26,NA,165,2
SCENES28,6,165,1
SCENES8,NA,165,2
SCENES6,2,165,2
SCENES41,NA,165,2
SCENES26,2,165,1
SCENES37,4,165,1
SCENES8,NA,192,2
SCENES40,7,192,1
SCENES46,NA,192,2
SCENES12,6,192,2
SCENES43,6,192,2
SCENES6,1,192,1
SCENES5,NA,192,2
SCENES46,7,192,1
SCENES22,NA,192,2
SCENES41,NA,192,2
SCENES39,3,192,2
SCENES18,4,192,1
SCENES23,3,192,1
SCENES1,NA,192,2
SCENES20,2,192,1
SCENES28,7,192,1
SCENES8,2,192,1
SCENES20,NA,192,2
SCENES41,2,192,1
SCENES7,3,192,1
SCENES44,7,192,1
SCENES5,6,192,1
SCENES49,NA,192,2
SCENES6,1,192,2
SCENES7,NA,192,2
SCENES1,2,192,1
SCENES25,1,192,1
SCENES28,NA,192,2
SCENES9,3,192,1
SCENES9,3,192,2
SCENES40,NA,192,2
SCENES21,7,192,1
SCENES36,6,192,2
SCENES39,2,192,1
SCENES37,7,192,1
SCENES18,3,192,2
SCENES11,NA,192,2
SCENES2,NA,192,2
SCENES23,NA,192,2
SCENES12,6,192,1
SCENES43,6,192,1
SCENES25,NA,192,2
SCENES49,2,192,1
SCENES37,NA,192,2
SCENES48,NA,192,2
SCENES13,6,192,1
SCENES10,NA,192,2
SCENES26,NA,192,2
SCENES21,7,192,2
SCENES13,NA,192,2
SCENES48,2,192,1
SCENES10,3,192,1
SCENES14,NA,192,2
SCENES44,NA,192,2
SCENES22,3,192,1
SCENES11,2,192,1
SCENES14,7,192,1
SCENES36,3,192,1
SCENES2,2,192,1
SCENES26,2,192,1
SCENES9,4,198,2
SCENES49,4,198,1
SCENES7,NA,198,2
SCENES22,NA,198,2
SCENES28,NA,198,2
SCENES49,NA,198,2
SCENES8,4,198,1
SCENES10,NA,198,2
SCENES23,4,198,1
SCENES21,5,198,2
SCENES25,4,198,1
SCENES43,4,198,2
SCENES8,NA,198,2
SCENES9,4,198,1
SCENES37,NA,198,2
SCENES6,3,198,2
SCENES36,3,198,2
SCENES10,3,198,1
SCENES25,NA,198,2
SCENES5,NA,198,2
SCENES48,NA,198,2
SCENES14,5,198,1
SCENES23,NA,198,2
SCENES20,NA,198,2
SCENES21,5,198,1
SCENES41,NA,198,2
SCENES7,3,198,1
SCENES39,4,198,2
SCENES43,4,198,1
SCENES46,6,198,1
SCENES40,NA,198,2
SCENES26,NA,198,2
SCENES12,5,198,1
SCENES44,6,198,1
SCENES20,4,198,1
SCENES39,3,198,1
SCENES28,5,198,1
SCENES37,5,198,1
SCENES13,NA,198,2
SCENES44,NA,198,2
SCENES13,5,198,1
SCENES18,4,198,2
SCENES1,NA,198,2
SCENES1,5,198,1
SCENES6,3,198,1
SCENES18,4,198,1
SCENES2,NA,198,2
SCENES5,5,198,1
SCENES2,5,198,1
SCENES41,3,198,1
SCENES48,4,198,1
SCENES11,4,198,1
SCENES40,5,198,1
SCENES26,3,198,1
SCENES36,3,198,1
SCENES22,4,198,1
SCENES11,NA,198,2
SCENES46,NA,198,2
SCENES12,5,198,2
SCENES14,NA,198,2
SCENES22,1,214,1
SCENES6,1,214,1
SCENES5,NA,214,2
SCENES37,NA,214,2
SCENES40,4,214,1
SCENES8,NA,214,2
SCENES37,4,214,1
SCENES26,1,214,1
SCENES21,2,214,2
SCENES2,NA,214,2
SCENES10,2,214,1
SCENES26,NA,214,2
SCENES43,1,214,2
SCENES36,1,214,1
SCENES28,3,214,1
SCENES44,2,214,1
SCENES10,NA,214,2
SCENES13,2,214,1
SCENES14,NA,214,2
SCENES1,NA,214,2
SCENES40,NA,214,2
SCENES49,1,214,1
SCENES20,1,214,1
SCENES12,3,214,2
SCENES8,4,214,1
SCENES11,NA,214,2
SCENES36,1,214,2
SCENES28,NA,214,2
SCENES44,NA,214,2
SCENES12,3,214,1
SCENES43,1,214,1
SCENES39,1,214,1
SCENES49,NA,214,2
SCENES18,1,214,2
SCENES48,1,214,1
SCENES7,1,214,1
SCENES1,1,214,1
SCENES25,1,214,1
SCENES46,NA,214,2
SCENES41,1,214,1
SCENES9,4,214,1
SCENES20,NA,214,2
SCENES23,1,214,1
SCENES39,1,214,2
SCENES22,NA,214,2
SCENES5,4,214,1
SCENES13,NA,214,2
SCENES14,3,214,1
SCENES25,NA,214,2
SCENES41,NA,214,2
SCENES21,2,214,1
SCENES2,1,214,1
SCENES23,NA,214,2
SCENES9,3,214,2
SCENES18,1,214,1
SCENES6,1,214,2
SCENES48,NA,214,2
SCENES11,1,214,1
SCENES46,4,214,1
SCENES7,NA,214,2
SCENES20,3,216,1
SCENES5,7,216,1
SCENES49,NA,216,2
SCENES10,NA,216,2
SCENES13,7,216,1
SCENES12,7,216,2
SCENES14,NA,216,2
SCENES21,7,216,1
SCENES1,NA,216,2
SCENES49,2,216,1
SCENES8,6,216,1
SCENES37,NA,216,2
SCENES6,1,216,1
SCENES36,3,216,2
SCENES7,NA,216,2
SCENES25,NA,216,2
SCENES21,6,216,2
SCENES12,7,216,1
SCENES8,NA,216,2
SCENES18,2,216,2
SCENES6,2,216,2
SCENES46,7,216,1
SCENES43,4,216,2
SCENES28,NA,216,2
SCENES44,NA,216,2
SCENES20,NA,216,2
SCENES5,NA,216,2
SCENES14,7,216,1
SCENES9,5,216,1
SCENES23,3,216,1
SCENES40,5,216,1
SCENES48,NA,216,2
SCENES7,4,216,1
SCENES2,NA,216,2
SCENES26,1,216,1
SCENES26,NA,216,2
SCENES36,3,216,1
SCENES1,6,216,1
SCENES11,2,216,1
SCENES28,7,216,1
SCENES13,NA,216,2
SCENES40,NA,216,2
SCENES37,6,216,1
SCENES2,2,216,1
SCENES39,3,216,2
SCENES9,6,216,2
SCENES11,NA,216,2
SCENES23,NA,216,2
SCENES25,1,216,1
SCENES43,3,216,1
SCENES41,NA,216,2
SCENES44,6,216,1
SCENES41,3,216,1
SCENES39,2,216,1
SCENES18,1,216,1
SCENES22,1,216,1
SCENES46,NA,216,2
SCENES22,NA,216,2
SCENES48,4,216,1
SCENES10,6,216,1
SCENES49,5,230,1
SCENES12,7,230,2
SCENES21,6,230,2
SCENES36,4,230,1
SCENES18,3,230,2
SCENES10,NA,230,2
SCENES9,6,230,2
SCENES14,7,230,1
SCENES2,2,230,1
SCENES44,5,230,1
SCENES36,4,230,2
SCENES40,NA,230,2
SCENES46,NA,230,2
SCENES7,4,230,1
SCENES9,6,230,1
SCENES28,NA,230,2
SCENES40,6,230,1
SCENES22,2,230,1
SCENES5,6,230,1
SCENES44,NA,230,2
