Sub,Block,Obj,AE,SR
1,1,52,0.814814815,0.717592593
1,1,85,0.730555556,0.049074074
1,1,65,0.927777778,0.65
1,1,134,0.231481481,0.014814815
1,1,74,0.452777778,0.724074074
1,1,28,0.557407407,0.634259259
1,1,8,0.826851852,0.802777778
1,1,6,0.353703704,0.64537037
1,1,98,0.656481481,0.086111111
1,1,56,0.808333333,0.290740741
1,1,77,0.715740741,0.082407407
1,1,120,0.17962963,0.012962963
1,1,109,0.940740741,0.012037037
1,1,66,0.961111111,0.833333333
1,1,116,0.630555556,0.64537037
1,1,96,0.661111111,0.273148148
1,1,20,0.442592593,0.772222222
1,1,21,0.706481481,0.083333333
1,1,144,0.163888889,0.011111111
1,1,103,0.600925926,0.057407407
1,1,13,0.587037037,0.655555556
1,1,2,0.971296296,0.815740741
1,1,58,0.816666667,0.911111111
1,1,45,0.609259259,0.106481481
1,1,19,0.598148148,0.733333333
1,1,132,0.811111111,0.613888889
1,1,127,0.494444444,0.975925926
1,1,10,0.591666667,0.602777778
1,1,138,0.647222222,0.722222222
1,1,137,0.916666667,0.093518519
1,1,32,0.369444444,0.031481481
1,1,15,0.631481481,0.524074074
1,1,117,0.872222222,0.793518519
1,1,73,0.649074074,0.046296296
1,1,26,0.082407407,0.003703704
1,1,75,0.690740741,0.660185185
1,1,95,0.567592593,0.27037037
1,1,99,0.918518519,0.618518519
1,1,12,0.825,0.594444444
1,1,148,0.889814815,0.737037037
1,1,62,0.807407407,0.063888889
1,1,112,0.649074074,0.668518519
1,1,64,0.709259259,0.706481481
1,1,24,0.852777778,0.800925926
1,1,122,0.847222222,0.025
1,1,68,0.839814815,0.847222222
1,1,3,0.35462963,0.012962963
1,1,133,0.849074074,0.363888889
1,1,121,0.088888889,0.035185185
1,1,27,0.055555556,0.598148148
1,1,72,0.662962963,0.132407407
1,1,29,0.369444444,0.010185185
1,1,100,0.576851852,0.134259259
1,1,69,0.828703704,0.126851852
1,1,70,0.593518519,0
1,1,53,0.835185185,0.021296296
1,1,118,0.139814815,0
1,1,42,0.749074074,0.615740741
1,1,107,0.646296296,0.263888889
1,1,30,0.938888889,0.637037037
1,1,76,0.765740741,0.015740741
1,1,130,0.714814815,0.171296296
1,1,35,0.833333333,0.736111111
1,1,119,0.557407407,0.146296296
1,1,47,0.712037037,0.062037037
1,1,59,0.667592593,0.022222222
1,1,93,0.57037037,0.703703704
1,1,38,0.424074074,0
1,1,97,0.781481481,0.948148148
1,1,106,0.618518519,0.053703704
1,1,36,0.64537037,0.928703704
1,1,18,0.639814815,0.718518519
1,1,88,0.456481481,0.021296296
1,1,94,0.349074074,0.768518519
1,1,16,0.409259259,0.05
1,1,89,0.588888889,0.038888889
1,1,125,0.697222222,0.896296296
1,1,5,0.722222222,0.042592593
1,1,115,0.54537037,0.912962963
1,1,86,0.338888889,9.25926e-4
1,1,141,0.182407407,0.724074074
1,1,67,0.403703704,0.005555556
1,1,126,0.753703704,0.697222222
1,1,43,0.562037037,0.014814815
1,1,101,0.80648148099999994,0.108333333
1,1,84,0.862037037,0.853703704
1,1,83,0.109259259,0.10462963
1,1,34,0.348148148,0.605555556
1,1,90,0.912037037,0.8
1,1,110,0.396296296,0.013888889
1,1,48,0.68148148099999994,0.446296296
1,1,23,0.327777778,0
1,1,78,0.411111111,0.023148148
1,1,39,0.756481481,0.541666667
1,1,17,0.588888889,0.032407407
1,1,55,0.767592593,0.819444444
1,1,60,0.168518519,0.038888889
1,1,22,0.734259259,0.562037037
1,1,79,0.538888889,0.087962963
1,1,123,0.368518519,0.612037037
1,1,9,0.757407407,0.055555556
1,1,140,0.825,0.037037037
1,1,51,0.676851852,0
1,1,129,0.982407407,0.959259259
1,1,54,0.709259259,0.633333333
1,1,104,0.8,0.749074074
1,1,11,0.344444444,0
1,1,1,0.610185185,0.12037037
1,1,46,0.649074074,0.04537037
1,1,136,0.801851852,0.713888889
1,1,111,0.582407407,0.033333333
1,1,80,0.752777778,0.777777778
1,1,4,0.873148148,0.878703704
1,1,63,0.780555556,0.076851852
1,1,147,0.197222222,0
1,1,61,0.737962963,0.088888889
1,1,50,0.378703704,0
1,1,7,0.119444444,0
1,1,14,0.428703704,0.617592593
1,1,128,0.794444444,0.767592593
1,1,92,0.594444444,0
1,1,71,0.54537037,0.625925926
1,1,44,0.637962963,0.338888889
1,1,37,0.593518519,0.773148148
1,1,40,0.627777778,0.581481481
1,1,49,0.618518519,0.212962963
1,1,82,0.668518519,0.014814815
1,1,108,0.794444444,0.041666667
1,1,142,0.238888889,0
1,1,102,0.567592593,0.380555556
1,1,113,0.664814815,0.034259259
1,1,124,0.838888889,0.136111111
1,1,139,0.172222222,0.001851852
1,1,57,0.743518519,0.056481481
1,1,143,0.591666667,0.028703704
1,1,146,0.080555556,0
1,1,33,0.790740741,0.025925926
1,1,105,0.798148148,0.232407407
1,1,114,0.875,0.039814815
1,1,41,0.893518519,0.758333333
1,1,87,0.602777778,0.658333333
1,1,145,0.111111111,0.027777778
1,1,91,0.923148148,0.043518519
1,1,31,0.676851852,0.657407407
1,1,131,0.884259259,0.630555556
1,1,135,0.562962963,0.665740741
1,1,25,0.703703704,0.87962963
1,1,81,0.380555556,0.040740741
1,2,32,0.033333333,0.028703704
1,2,28,0.791666667,0.786111111
1,2,15,0.659259259,0.637037037
1,2,103,0.776851852,0.596296296
1,2,136,0.932407407,0.949074074
1,2,11,0.062962963,0
1,2,65,0.875925926,0.740740741
1,2,101,0.927777778,0.031481481
1,2,35,0.956481481,0.963888889
